Korean	English
삐걱	AWKWARD NERVOUS
삐비빅	DADADA BEEBEEP
삐용	WEE-WOO
삐이	WEEE WHEEE BEEEE (RING)
삐질	SULK
삐짐	TWITCH SEETHE PEEVED
삑	BEEP
사각	SCRIBBLE SCRAWL SCRITCH SCRATCH
사락	SWISH FWIP
사르륵	MELT
사아아	PALE GLOOM GAUNT
살금	CRAWL (ON THE GROUND) CREEP SNEAK TIPTOE
새근	SNOOZE BREATHE ZZZZ
색색	SNOOZE BREATHE ZZZZ
샤라라	TWINKLE TA-DA DAZZLE
샤라랑	SPARKLE FLASH GLIMMER DAZZLE (BLING)
샤방	SPARKLE FLASH GLIMMER DAZZLE (BLING)
샤샥	RUSTLE
샤아아	WHOOSH WHOOOOSH
샥	SWISH FWIP
샥 샥	BEG PLEAD RUB RUB
성큼	STRIDE STEP
소근(소근)	WHISPER (MUMBLE) (MUTTER)
소오름	SHIVER  GOOSEBUMPS CHILLS
속닥(속닥)	WHISPER (MUMBLE) (MUTTER)
수군 수군	WHISPER
술렁	CHATTER MURMUR
쉭	HISS
쉿	FIZZLE (CRACKLE) (HSSS)
슈욱	SWOOSH SWOOP SWISH
슈웅	SWOOSH SWOOP SWISH
슉	FWIP SHWP VANISH FLASH
스륵	SLUMP
스릉	DRAW SLIDE SCHWING (VWOOM - MAGIC SWORD) SHING
스릉	SHEATHE/SCHWING CLACK (METAL SHEATH)
스멀	WAFT
스윽	APPEAR APPROACH STEP WHOOSH (SLIP)
스윽	SWIPE SWISH BRUSH
스윽	WIPE
스윽	REACH LEAN APPEAR WIPE
스윽	SLUMP
스윽	SHEATHE/SCHWING CLACK (METAL SHEATH)
스윽 	SLASH SLICE SWOOSH SWISH
스응	SHEATHE/SCHWING CLACK (METAL SHEATH)
슥	GLANCE TURN (PEEK) (GLIMPSE)
슥	LEAN TILT
슥	DROP PLACE KTUNK THUD (If heavy)
슥	FLOP SIT SLIDE THUD
슥	RISE JOLT SPRING
슥	RUB RUFFLE GRIND (with knuckles)
슥	AVERT AVOID TURN (DISMISSED)
슥	REACH LEAN APPEAR WIPE
슬금	CRAWL (ON THE GROUND) CREEP SNEAK TIPTOE
시끌	CHATTER
시큰	CRACK CRICK (CRACKING) PANG (SUDDEN PAIN) SORE STIFF
싱긋	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)
싸늘	AWKWARD AWKWARD SILENCE
싸아	GLOOM
싸아아	BREATHE INHALE GASP HUFF PHEW (relief)  WHEW SIGH
쌔근쌔근	SNOOZE BREATHE ZZZZ
쌔액	WHEEZE
쌕쌕	SNOOZE BREATHE ZZZZ
쏴아	SHWAAAA WHOOSH
쓰담	PAT STROKE PET WHACK (if hard) RUB RUFFLE GRIND (with knuckles)
씨익	BEAM GRIN SMILE SMIRK (PLEASED) (ALL SMILES)
씨익씨익	NEIGH, WHINNY SNORT) (HUFF)
씩 씩	BREATHE INHALE GASP HUFF PHEW (relief)  WHEW SIGH
아우우	AWHHOOO  HOWL OOWWWOOO
아웅다웅	BICKER SQUABBLE QUARREL
안절부절	NERVOUS
애앵	WHHING
야옹	MEOW MEW
어질	WOBBLE STAGGER TILT
얼얼	GRUNT GROAN PANG
에취	ACHOO
오싹	SHIVER  GOOSEBUMPS CHILLS
옥신각신	BICKER SQUABBLE QUARREL
와아 	CHEER, ROAR(war cry) WOW
왔다갔다	PACE BACK FORTH
우다다다	RAMBLE
우당탕	FUMBLE FRANTIC (CLATTER)
우뚝	FIRM HALT STAND
우르르	CRASH CLATTER SCUFFLE TUMBLE (WRESTLE) (GRAPPLE)
우르르	SWARM CROWD GATHER BUSTLE RUSH STAMPEDE HUSTLE
우르릉	CRACK RUMBLE (KRA-KOOM)
우웅	VWOOM
우지직	CRACKLE
욱	GROAN GRUMBLE (UGH/URGH)
울먹	TEARY (POUT)
움찔	FLINCH TWITCH
웅	VWOOM
위잉	WEEE WHEEE BEEEE (RING)
윙	FWOOSH WHOOSH WHIR / WHIRRR CRACKLE (ELECTRIC) ZAP (ELECTRIC) FIZZLE (ELECTRIC) BZZZT (ELECTRIC)
윙윙	BUZZ
으르렁	RUMBLE GRRRR GROWL ROAR / ROOOAR GRAAAH
으슬으슬	TREMBLE SHAKE SHIVER (if cold) QUIVER
으쌰	STRETCH
으쓱(으쓱)	SHRUG (PROUD)
이랴	GIDDY-UP,  HI-YA, HYAA
잔소리	NAG  SCOLD
잘근	NIBBLE GNAW
