					
	Korean	Definition	English	Context	Hashtags
	끄덕	고개나 손발 따위를 앞뒤로 또는 아래위로 움직이는 모양을 나타내는 말	❶ : nod ❷ : bow		#머리(head) #조용함 #모션
	끄적	글씨나 그림을 쓰거나 그리다	❶ : scribble ❷ : scrawl ❸ : scritch ❹ : scratch		#작은모션 #행동
	끄흡	곤란한 처지를 당하여 하소연하며 우는 소리	ngh		#소리 #감정
	끙	몹시 힘들거나 아파서 앓는 소리	❶ : groan ❷ : grumble ❸ : ugh/urgh ❹ : grunt ❺ : pang		#소리 #고통
	끼익	❶ : 차량 따위가 갑자기 멈출 때 브레이크가 마찰하면서 나는 소리를 나타내는 말 ❷ : 대문 따위가 문틀과 마찰하면서 슬며시 열릴 때 나는 소리를 나타내는 말	❶ : skid ❷ : creak ❸ : skrr		#소리 #큰소리 #제가 산 건 땅이지 남자가 아닌데요_KR_1
	끼익	❸ : 몹시 놀라거나 충격을 받아 갑자기 힘을 다하여 날카롭게 지르는 외마디소리	screech		#큰소리
	끽	❶ : 서로 닿아서 조금 세게 갈리는 소리	❶ : creak ❷ : skrr		#소리 #큰소리
	끽	❷ : 몹시 놀라거나 충격을 받아 갑자기 힘을 다하여 날카롭게 지르는 외마디소리	screech		#큰소리
	나른	맥이 풀려 기운이 없다	drowsy		#몸 #상태 #모션
	냠	주로 어린아이가 음식을 맛있게 먹는 소리를 나타내는 말	❶ : nom nom ❷ : chew ❸ : chomp ❹ : munch ❺ : nibble ❻ : yum ❼ : bite		#귀여움 #소리 #식사
	다그닥	단단한 바닥에 급히 부딪치는 소리가 잇따라 나다	❶ : clop clop ❷ : gallop gallop		#큰모션 #소리 #행동
	다다다	갑자기 빠른 동작으로 뛰거나 몸을 움직이는 모양을 나타내는 말	rush tap tap tap dash clack clack clack (in heels) stomp stomp stomp (angrily walking) sprint scramble swerve (scamper)		#큰모션 #소리 #행동
	다다다닥	빠른 걸음으로 뛰어서 가다	DASH		#큰모션 #소리 #행동
	달칵	작고 단단한 물건이 서로 조금 거세게 부딪치는 소리	CLICK CLACK		#소리
	더듬	무엇을 찾거나 알아보기 위해 손으로 이리저리 자꾸 만져 보다	FUMBLE		#행동 #모션
	더듬	말을 하거나 글을 읽을 때 자연스럽지 못하고 자꾸 막히는 모양을 나타내는 말	STAMMER STUTTER		#소리
	덜덜	추위나 무서움으로 몸을 크게 떠는 모양을 나타내는 말	TREMBLE SHAKE SHIVER (if cold) QUIVER		#몸 #상태 #모션
	덜커덕	단단한 물건이 서로 거세게 부딪치는 소리	RATTLE		#소리
	덜컹	단단한 물건이 서로 거세게 부딪쳐 울리는 소리를 나타내는 말	KATHUNK		#소리 #큰소리
	덥썩	왈칵 달려들어 닁큼 물거나 움켜잡는 모양	GRAB SNAG SNATCH YANK		#행동 #모션
	데굴	계속 조금 빠르게 구르다	ROLL		#행동 #모션
	도담	조금 단단한 물체를 잇따라 조금 힘있게 두드리는 소리	TAP		#행동 #모션 #소리
	두근	몹시 놀라고 불안하거나 기분이 좋아서 자꾸 크게 뛰다	BADUM THUMP (negative)		#감정 #느낌
	두둔	북이나 장구 따위를 가볍게 계속 쳐서 나는 소리	DA DUN DUN DUN		#소리 #큰소리
	두둥	북이나 장구 따위를 가볍게 계속 쳐서 나는 소리	DA DUN DUN DUN		#소리 #큰소리
	두리번	눈을 크게 뜨고 주위를 보기 위해 이리저리 자꾸 크게 돌리다	LOOK GLANCE  SEARCH (RUMMAGE) GLANCE TURN (if 두리번 is used twice)		#조용함 #모션
	뒤적	무엇을 찾으려고 이리저리 헤치거나 곳곳을 살피다	RUMMAGE FUMBLE		#조용함 #모션
	드득	서로 닿아서 조금 세게 갈리는 소리	CREAK SKRR		#소리 #큰소리
	드르렁	크고 요란하게 코를 고는 소리를 나타내는 말	SNORE		#호흡 #모습
	드르르르륵	큰 물건이 미끄러질 때 나는 소리	SLIIIDE SLIDE RATTLE		#소리
	들썩	1.묵직한 물건이 들렸다가 내려앉는 모양 2.어깨나 궁둥이 따위를 위아래로 움직이는 모양	LIFT RAISE		#모션
